product_id,product_name,description,price,stock,brand_name,image_url,image_alt,categories,tags,variants
1,Bicicleta Modelo 1,Bicicleta de alta qualidade - modelo 1,250.00,10,Caloi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/1-3-300x225.png,Imagem do produto 1,Aro 12 (até 3 anos),"infantil, promoção","[{""variant_name"":""Cor"",""value"":""Vermelho"",""price"":0,""stock"":5},{""variant_name"":""Cor"",""value"":""Azul"",""price"":0,""stock"":4},{""variant_name"":""Tamanho"",""value"":""P"",""price"":0,""stock"":3},{""variant_name"":""Tamanho"",""value"":""M"",""price"":0,""stock"":2}]"
2,Bicicleta Modelo 2,Bicicleta de alta qualidade - modelo 2,260.00,11,Bradox,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/10-2-300x225.png,Imagem do produto 2,Aro 16 (de 3 até 6 anos),"lançamento, aro 29","[{""variant_name"":""Cor"",""value"":""Vermelho"",""price"":0,""stock"":5},{""variant_name"":""Cor"",""value"":""Azul"",""price"":0,""stock"":4},{""variant_name"":""Tamanho"",""value"":""P"",""price"":0,""stock"":3},{""variant_name"":""Tamanho"",""value"":""M"",""price"":0,""stock"":2}]"
3,Bicicleta Modelo 3,Bicicleta de alta qualidade - modelo 3,270.00,12,Oggi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/11-1-300x225.png,Imagem do produto 3,Aro 20 (de 6 até 10 anos),"infantil, lançamento","[{""variant_name"":""Cor"",""value"":""Vermelho"",""price"":0,""stock"":5},{""variant_name"":""Cor"",""value"":""Azul"",""price"":0,""stock"":4},{""variant_name"":""Tamanho"",""value"":""P"",""price"":0,""stock"":3},{""variant_name"":""Tamanho"",""value"":""M"",""price"":0,""stock"":2}]"
4,Bicicleta Modelo 4,Bicicleta de alta qualidade - modelo 4,280.00,13,Monark,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/12-1-300x225.png,Imagem do produto 4,Aro 24 (de 10 até 15 anos),"promoção, aro 29","[{""variant_name"":""Cor"",""value"":""Vermelho"",""price"":0,""stock"":5},{""variant_name"":""Cor"",""value"":""Azul"",""price"":0,""stock"":4},{""variant_name"":""Tamanho"",""value"":""P"",""price"":0,""stock"":3},{""variant_name"":""Tamanho"",""value"":""M"",""price"":0,""stock"":2}]"
5,Bicicleta Modelo 5,Bicicleta de alta qualidade - modelo 5,290.00,14,Absolute,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/13-1-300x225.png,Imagem do produto 5,Aro 26,"infantil, promoção","[{""variant_name"":""Cor"",""value"":""Vermelho"",""price"":0,""stock"":5},{""variant_name"":""Cor"",""value"":""Azul"",""price"":0,""stock"":4},{""variant_name"":""Tamanho"",""value"":""P"",""price"":0,""stock"":3},{""variant_name"":""Tamanho"",""value"":""M"",""price"":0,""stock"":2}]"
6,Bicicleta Modelo 6,Bicicleta de alta qualidade - modelo 6,300.00,10,DNZ,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/14-2-300x225.png,Imagem do produto 6,Aro 29,null,null
7,Bicicleta Modelo 7,Bicicleta de alta qualidade - modelo 7,310.00,11,GTI,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/15-1-300x225.png,Imagem do produto 7,Aro 700,null,null
8,Bicicleta Modelo 8,Bicicleta de alta qualidade - modelo 8,320.00,12,Viking,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/16-1-300x225.png,Imagem do produto 8,Aro 12 (até 3 anos),null,null
9,Bicicleta Modelo 9,Bicicleta de alta qualidade - modelo 9,330.00,13,Samy,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/17-1-300x225.png,Imagem do produto 9,Aro 16 (de 3 até 6 anos),null,null
10,Bicicleta Modelo 10,Bicicleta de alta qualidade - modelo 10,340.00,14,Caloi,https://nfiyjubkhqwpdyunngnp.supabase.co/storage/v1/object/public/produtos/18-2-300x225.png,Imagem do produto 10,Aro 20 (de 6 até 10 anos),null,null
